authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Cote et al;2009;39;122;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;motile percentage (%);0;0;quality;quality;"""Sperm longevity (index of sperm duration) was deter-
mined by loss of motility and velocity. Sperm analyses were performed at three different times (new slide for each time) for up to 24 h and the semen was maintained at 4 8C between each analysis. We could not set a fixed time period for all slides because of logistic constraints, but they were regrouped in three time ranges (time 1 = 15 min (SD = 10 min); time 2 = 10 h 8 min (SD = 1 h 56 min); time 3 = 20 h 23 min (SD = 1 h 49 min). Linear regression analyses allowed the measurements of lost on path velocity (RLVAP), rapid percentage (RLRAP), and motile percent- age (RLMOT).""";75;0.077435062;0.055025312;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;123;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;rapid percentage (%);0;0;quality;quality;"""Sperm longevity (index of sperm duration) was deter-
mined by loss of motility and velocity. Sperm analyses were performed at three different times (new slide for each time) for up to 24 h and the semen was maintained at 4 8C between each analysis. We could not set a fixed time period for all slides because of logistic constraints, but they were regrouped in three time ranges (time 1 = 15 min (SD = 10 min); time 2 = 10 h 8 min (SD = 1 h 56 min); time 3 = 20 h 23 min (SD = 1 h 49 min). Linear regression analyses allowed the measurements of lost on path velocity (RLVAP), rapid percentage (RLRAP), and motile percent- age (RLMOT).""";75;0.57594919;0.057196787;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;124;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;estimated number of sperm (106 sperm);0;0;production;production_0;"""An estimated total number of sperm (TOTSPERM) was calculated using sperm concentration as estimated from the spermogram analysis multiplied by the total volume of acti- vation solution and gonads extract.""";75;0.292897803;0.055557265;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;125;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;sperm concentration (106 sperm/g of gonad);0;0;production;production_0;"""We used the estimated total number of spermatozoids and the mass of the gonads to calculate the sperm concentration (SCPG)""";75;-0.077508793;0.055025388;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;126;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;lost of path velocity (µm/s2);0;0;quality;quality;"""Sperm longevity (index of sperm duration) was deter-
mined by loss of motility and velocity. Sperm analyses were performed at three different times (new slide for each time) for up to 24 h and the semen was maintained at 4 8C between each analysis. We could not set a fixed time period for all slides because of logistic constraints, but they were regrouped in three time ranges (time 1 = 15 min (SD = 10 min); time 2 = 10 h 8 min (SD = 1 h 56 min); time 3 = 20 h 23 min (SD = 1 h 49 min). Linear regression analyses allowed the measurements of lost on path velocity (RLVAP), rapid percentage (RLRAP), and motile percent- age (RLMOT).""";75;-1.198046663;0.064554109;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;127;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;PK activity in sperm (U/106 sperm);0;0;quality;quality;"""Pyruvate kin- ase (PK; EC 2.7.1.40) activity assesses glycolytic capacity and has been linked to sperm motility (Mukai and Okuno 2004)."" ""Enzyme activities were assayed using a UV/Vis spectro- photometer (Perkin Elmer, Lamda 11). The temperature of the cell holder was controlled with a circulating refrigerating water bath at 25 8C. The assays for PK followed the disap- pearance of NADH at 340 nm (Thibault et al. 1997). CS""";75;-0.769101579;0.058928786;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Cote et al;2009;39;128;Gasterosteus;three-spined stickleback;Gasterosteus_aculeatus;Gasterosteus_aculeatus;"""Baie de l’Isle-Verte about 200 km northeast of Que- bec City along the south shore of the St. Lawrence Estuary""";3;obs;minor 1: non-territorial (NTM);laboratory;3;2.M;CS activity in sperm (U/106 sperm);0;0;quality;quality;"""Sperm mito- chondrial capacity was assessed by the activity of citrate synthase (CS; EC 2.3.3.1), which is a reliable marker of mi- tochondrial volume (Ruiz-Pesini et al. 1998)."" ""CS was monitored at 412 nm to detect the transfer of sylphydryl groups to the 5,5’-dithiobis-2-nitrobenzoic acid (DTNB). The extinction coefficients for NADH and DTNB were,
6.22 and 13.6 mL?cm–1?mmol–1 (Thibault et al. 1997)""";75;0.067046641;0.055015306;mean body weight (g) +/- sd;2.66;0.68;31;2.51;0.57;44;75;
Pilastro et al;2002;5;56;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy + professional fishers;2;exp;1 sneaker;laboratory;1;1.L;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;21;0.404549353;0.266396671;mean total length +/- sd cm;11.1;0.72;20;7.9;0.65;20;40;
Pilastro et al;2002;5;57;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy + professional fishers;2;exp;2 sneakers;laboratory;1;1.L;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;21;0.157710919;0.263092208;mean total length +/- sd cm;11.1;0.72;20;7.9;0.65;20;40;
Pilastro et al;2002;5;58;Gobius;Black goby;Gobius_niger;Caffrogobius_caffer;Venice Lagoon, Italy + professional fishers;2;exp;3 sneakers;laboratory;1;1.L;sperm concentration (sperm per mL of water);0;0;allocation;allocation;sperm concentration in 80mL of water after 30 min of the introduction of females / sperm per mL;21;0.922429544;0.282758959;mean total length +/- sd cm;11.1;0.72;20;7.9;0.65;20;40;
