authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Burness et al;2004;20;85;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;NA;natural;2;1.L;VAP: average path velocity (µm s-1) after 5s;0;0;quality;quality;"""For each male, at 5, 10, 15, 30, 45, 60, and 90 s following activation of sperm motility, we quantified the swimming paths of all spermatozoa for 0.5 s each. We deleted sperm with incomplete paths (i.e., those that went in or out of the field of view), and calculated the average sperm swimming velocity (VAP; average smoothed path velocity) of up to 25 spermatozoa per time interval.""";22;-1.460062697;0.244878187;?;?;?;?;?;?;?;?;
Burness et al;2004;20;86;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;NA;natural;2;1.L;motily (%) after 5s;0;0;quality;quality;"""we also calculated the percentage of cells in the field of view that were motile (percent motility). We considered sperm to be motile if their progressive motility was >25 mm/s (see Lahnsteiner et al. 1998 for similar criterion)""";22;-0.482927304;0.201728998;?;?;?;?;?;?;?;?;
Burness et al;2004;20;87;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;NA;natural;2;1.L;sperm tail length (µm);0;0;quality;quality;"""we photographed ten haphazardly chosen sperm from each male, using a microscope-mounted camera. We measured tail length to the nearest 0.1 mm on digitized images of each sperm using NIH image (v.1.69; available at http:// rsb.info.nih.gov/nih-image) and an Intuos graphic tablet (Wacom Co. Ltd., Japan). We calculated the median sperm tail length for each male for use in further analyses""";22;-1.364344304;0.2421;?;?;?;?;?;?;?;?;
Burness et al;2004;20;88;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;NA;natural;2;1.L;ATP concentration;0;0;quality;quality;"""nmol ATP per 10^8 spermatozoa""";22;-1.023306329;0.2221;?;?;?;?;?;?;?;?;
Burness et al;2005;42;92;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;2;obs;NA;natural;2;1.L;sperm density (spermatozoa/µl milt);0;0;production;production_0;we instead quantified the amount of genomic DNA in each milt sample and converted DNA content to number of spermatozoa using a conversion of 0.97 pg DNA per haploid bluegill cell;25;54.72312437;60.05266324;?;?;?;?;?;?;?;?;
Burness et al;2005;42;93;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;2;obs;NA;natural;2;1.L;sperm average swimming speed 10s postactivation;0;0;quality;quality;"we deleted sperm with incomplete paths and calculated the average sperm swimming velocity (VAP; average smoothed path velocity) of up to 25 spermatozoa per time interval";25;-0.160290491;0.160770271;?;?;?;?;?;?;?;?;
Burness et al;2005;42;94;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;2;obs;NA;natural;2;1.L;percentage sperm showing motility 10s postactivation;0;0;quality;quality;To calculate the percentage of sperm that were motile at each time interval, we placed a piece of acetate over the computer monitor and scored by hand the number of sperm that were either swimming or immotile;25;0.396072308;0.163393876;?;?;?;?;?;?;?;?;
Burness et al;2005;42;95;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;2;obs;NA;natural;2;1.L;ATP levels 10s postactivation;0;0;quality;quality;The ATP content of each sample was calculated from a series of ATP standards run in duplicate with the milt samples. ATP content is expressed as pmol ATP per 106 spermatozoa.;25;-0.641600441;0.168489433;?;?;?;?;?;?;?;?;
Hellmann et al;2015;14;192;Neolamprologus;Tanganyikan cichlid fish N. modestus;Neolamprologus_modestus;Neolamprologus_sp1;Lake Tanganyiaka, East Africa;2;obs;NA;natural;3;2.M;gonad mass (mg);0;1;production;production_0;"""Fish were dissected, sex was con- firmed and gonads and livers were weighed to the nearest 0.001 g.""";33;-1.030086058;0.138299151;mean mass (g) +/- se;12.7;0.7;18;6;0.4;15;33;
Hellmann et al;2015;14;193;Neolamprologus;Tanganyikan cichlid fish N. modestus;Neolamprologus_modestus;Neolamprologus_sp1;Lake Tanganyiaka, East Africa;2;obs;NA;natural;3;2.M;GSI (%);1;0;production;production_1;"""Gonadosomatic index (GSI) and hepatosomatic index (HSI) were calculated as the ratio of gonad mass and liver mass, respectively, to overall body mass""";33;-2.112929811;0.189865743;mean mass (g) +/- se;12.7;0.7;18;6;0.4;15;33;
Koseki & Maekawa;2002;7;48;Oncorhynchus;Masu salmon;Oncorhynchus_masou;Oncorhynchus_sp1;Shikaribetsu Reservoir;2;obs;NA;natural;3;2.M;GSI (energy based);1;0;production;production_1;"""GSI, the proportion of testes investment to the somatic investment"" - based on energy (""Mass-specific energy in soma and testes (kJ·g–1) were estimated by adding the proportions of fat and protein multiplied by the energy equivalents of 36.4 kJ·g–1 and 20.1 kJ·g–1, respectively (Brett 1995). Estimation of energy content using proximate analysis with energy equivalents is the standard approach in salmonid reproductive energetics (see appendix in Hendry and Berg 1999) and gives similar results to that using bomb calorimetry (Craig et al. 1978). Finally, total somatic and testicular energy (kJ) were calculated as the product of mass-specific energy and total mass in each tissue"")";182;1.568622722;0.04896762;?;?;?;?;?;?;?;?;
Koseki & Maekawa;2002;7;49;Oncorhynchus;Masu salmon;Oncorhynchus_masou;Oncorhynchus_sp1;Shikaribetsu Reservoir;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;"""GSI, the proportion of testes investment to the somatic investment"" - based on mass";182;1.590689516;0.049159147;?;?;?;?;?;?;?;?;
Koseki & Maekawa;2002;7;50;Oncorhynchus;Masu salmon;Oncorhynchus_masou;Oncorhynchus_sp1;Shumarinai Reservoir;2;obs;NA;natural;3;2.M;GSI (energy based);1;0;production;production_1;"""GSI, the proportion of testes investment to the somatic investment"" - based on energy (""Mass-specific energy in soma and testes (kJ·g–1) were estimated by adding the proportions of fat and protein multiplied by the energy equivalents of 36.4 kJ·g–1 and 20.1 kJ·g–1, respectively (Brett 1995). Estimation of energy content using proximate analysis with energy equivalents is the standard approach in salmonid reproductive energetics (see appendix in Hendry and Berg 1999) and gives similar results to that using bomb calorimetry (Craig et al. 1978). Finally, total somatic and testicular energy (kJ) were calculated as the product of mass-specific energy and total mass in each tissue"")";99;2.234565424;0.127491326;?;?;?;?;?;?;?;?;
Koseki & Maekawa;2002;7;51;Oncorhynchus;Masu salmon;Oncorhynchus_masou;Oncorhynchus_sp1;Shumarinai Reservoir;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;"""GSI, the proportion of testes investment to the somatic investment"" - based on mass";99;2.286998456;0.128688697;?;?;?;?;?;?;?;?;
Hoysak & Liley;2001;13;26;Oncorhynchus;Sockeye Salmon;Oncorhynchus_nerka;Oncorhynchus_nerka_mykiss;Fulton River, British Columbia, Canada;2;obs;NA;laboratory;3;2.M;sperm concentration;0;0;production;production_0;"""Sperm concentration in the milt was measured for each milt sample by filling two capillary tubes with milt and centrifuging them for 10 min in a microhaematocrit centrifuge. This packed sperm cells into an opaque white layer, leaving a clear layer of seminal plasma. Then the proportion of milt occupied by the packed sperm layer was measured using a standard haematocrit reader. Each male’s spermatocrit was calculated as the average of the two measurements. Spermatocrit is strongly correlated with the number of sperm cells per unit volume of milt (Bouk & Jacobson, 1976; unpublished data: r2=0·855, n=32). The relationship between spermatocrit and sperm cell count does not vary with male age (unpubl. data: test for equal slopes P=0·605, test for equal intercepts P=0·200, n=32).""";40;-1.999544928;0.918446515;?;?;?;?;?;?;?;?;
Hoysak & Liley;2001;13;27;Oncorhynchus;Sockeye Salmon;Oncorhynchus_nerka;Oncorhynchus_nerka_mykiss;Fulton River, British Columbia, Canada;2;obs;NA;laboratory;3;2.M;motility (ranked proportion);0;0;quality;quality;"""Ten seconds after sperm activation, the proportion of motile sperm was assessed using a 6-point scale similar to that of DeFraipont & Sorensen (1993): no motility, very low (1–10%), moderately low (10–30%), medium (30–75%), moderately high (75–95%) and very high (95–100%). [...] Both measures of sperm motility were performed two to three times for each male.""";9;-1.699781579;4.67580568;?;?;?;?;?;?;?;?;
Hoysak & Liley;2001;13;28;Oncorhynchus;Sockeye Salmon;Oncorhynchus_nerka;Oncorhynchus_nerka_mykiss;Fulton River, British Columbia, Canada;2;obs;NA;laboratory;3;2.M;duration of motility (s);0;0;quality;quality;"""When the proportion of sperm exhibiting motility declined below 5%, the time was noted as a measure of the duration of motility. Both measures of sperm motility were performed two to three times for each male.""";9;0.511355555;0.846205156;?;?;?;?;?;?;?;?;
Butts et al;2012;18;161;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;gonad mass (g);0;1;production;production_0;"""Fish were dissected and their testes were removed and weighted (±5 g).""";54;1.67226233;0.127206481;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;162;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;GSI;1;0;production;production_1;GSI = testes mass/(total mass x testes mass) x100);54;-1.233386317;0.115398893;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;163;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;VAP: average path velocity (µm s-1);0;0;quality;quality;NA;54;-0.858378834;0.108135675;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;164;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;VSL: straight line velocity (µm s-1);0;0;quality;quality;NA;54;-0.856884103;0.108111935;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;165;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;VCL: curvilinear velocity (µm s-1);0;0;quality;quality;NA;54;-0.818330419;0.10751392;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;166;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;motility (% after 5s activation);0;0;quality;quality;NA;54;-0.259814334;0.101938353;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Butts et al;2012;18;167;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario, Canada;2;obs;NA;natural;3;2.M;sperm density;0;0;production;production_0;"""The sperm were counted in 5 of the 25 squares on the grid. The average number of sperm
in the 5 squares was multiplied by 25 (to estimate the number of sperm in all squares), then by 10 (depth of the chamber in lm) and finally by 500 (to get the original volume of the sample in
lL). Densities were expressed as the number of sperm cells per mL of milt""";54;-0.162928396;0.101559114;mass (g);7871.49;1973.96;41;2346.47;488.18;13;54;
Flannery et al;2013;44;172;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;testes mass (g);0;1;production;production_0;;64;1.79792912;0.100108091;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;173;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;GSI (%);1;0;production;production_1;Gonadosomatic index (GSI = testes mass/soma mass) was calculated and used as a metric for male reproductive investment;64;-1.202553897;0.086151738;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;174;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm velocity (µm/s) 5s postactivation;0;0;quality;quality;"""Results were qualitatively similar for all three sperm velocity estimates (data not shown) and as such we present only results for straight-line velocity, hereafter referred to as sperm velocity.""";64;-0.597793056;0.077645649;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;175;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm motility (%) 5s postactivation;0;0;quality;quality;;64;-0.353464343;0.075829872;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;176;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm longevity (s);0;0;quality;quality;"""Sperm longevity was estimated as the time from sperm activation until ~95% of the sperm cells, within the field of view, were no longer exhibiting progressive forward motion (Gage et al., 2004). Two observers, with no knowledge of the male’s identities, measured longevity with high repeatability between measures for all of the males examined (r2
= 0.91,
P = 0.001, N = 64). Thus, we used the mean longevity of both observers in all analyses.""";64;-0.37608649;0.075958809;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;177;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm density (sperm/mL);0;0;quality;quality;"""There are 25 of these large squares on the haemocytometer and each of these large squares has 16 smaller squares within it. Sperm were counted in the four large corner squares and the large centre square. The mean number of sperm per large square count (i.e. mean of the five counts) was multiplied by 25 (to obtain the mean per 5 ¥ 5 large- square grid), by 10 (the depth of the chamber in mm), and then by the initial volume of the sample to estimate the sperm density. Sperm densities are expressed as the total number of sperm per mL of a male’s ejaculate.""";64;-0.296682446;0.075541461;soma mass (g) +/- se;7610;290;45;2258;109;19;64;
Flannery et al;2013;44;178;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm head length;0;0;quality;quality;;30;-0.250624525;0.134975449;?;?;?;?;?;?;?;?;
Flannery et al;2013;44;179;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;sperm head width;0;0;quality;quality;;30;-0.304703004;0.13547597;?;?;?;?;?;?;?;?;
Flannery et al;2013;44;180;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;flagellum length;0;0;quality;quality;;30;0.561307915;0.139179681;?;?;?;?;?;?;?;?;
Flannery et al;2013;44;181;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Credit River, Ontario;2;obs;NA;natural;3;2.M;ATP (nM ATP/10^9 sperm);0;0;quality;quality;"""ATP content of each sperm sample was calculated using the standard method provided in the kit manual and was reported as nanomoles ATP per 109
sperm. The mean of the two
measurements per male was used for statistical analysis.""";36;-0.274506065;0.112501686;?;?;?;?;?;?;?;?;
Young et al;2013;1;186;Oncorhynchus;Chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;Big Crek Hatchery weir, USA;2;exp;NA;laboratory;3;2.M;sperm count (percent packed sperm);0;0;production;production_0;"""Sperm count for each male was measured with three independent spermatocrit reads; the ejaculate was centrifuged and the percent of packed sperm taken as a measurement of sperm count per ejaculate""";10;0.344988799;0.405950864;mean hypural length (no information about cm, m, etc.) +/- sd;30.88;2.76;5;21.1;1.12;5;10;
Lehnert et al;2017;41;206;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;"""Credit River, flowing from Lake Ontario (Mississauga, Ontario, N 43°350,3W 79°420)""";2;exp;river water;laboratory;3;2.M;sperm velocity (µm/s);0;0;quality;quality;"""Sperm velocity, measured as curvilinear velocity (VCL) (the actual point-to-track followed by the cell), was measured at five seconds post-activation in both water and the ovarian fluid solution. The sperm analysis software measures each sperm cell individually and generates an average veloc- ity of all sperm cells combined. """;28;-0.413897517;0.145916271;?;?;?;?;?;?;?;?;
Lehnert et al;2017;41;207;Oncorhynchus;chinook salmon;Oncorhynchus_tshawytscha;Oncorhynchus_sp2;"""Credit River, flowing from Lake Ontario (Mississauga, Ontario, N 43°350,3W 79°420)""";2;exp;ovarian fluid;laboratory;3;2.M;sperm velocity (µm/s);0;0;quality;quality;"""Sperm velocity, measured as curvilinear velocity (VCL) (the actual point-to-track followed by the cell), was measured at five seconds post-activation in both water and the ovarian fluid solution. The sperm analysis software measures each sperm cell individually and generates an average veloc- ity of all sperm cells combined. """;28;0.086388953;0.142990412;?;?;?;?;?;?;?;?;
Miranda et al;2003;47;77;Parablennius;Azorean rock-pool blenny;Parablennius_parvicornis;Hypsoblennius_hentz;tide pools at Fateira on the south coast of Faial Island, Azores;2;obs;NA;natural;4;3.H;GSI;1;0;production;production_1;gonadosomatic index (GSI: body mass (g)/gonad mass (g));20;-1.543391666;0.279331666;body mass +/- sd;20.2;6.5;7;8.4;4.3;13;20;
Oliveira et al;2001;11;34;Parablennius;Azorean Rock-Pool Blenny;Parablennius_sanguinolentus_parvicornis;Hypsoblennius_hentz;South coast of Faial Island, Azores;4;obs;minor 1: sneaker;natural;4;3.H;GSI (%);1;0;production;production_1;"""gonadosomatic index (GSI) ? 100 ? gonad weight/ body weight""";17;-1.983625962;0.373304344;standard length mm mean +/- se;12.1;3.6;11;8.4;5.6;7;#REF!;
Oliveira et al;2001;11;35;Parablennius;Azorean Rock-Pool Blenny;Parablennius_sanguinolentus_parvicornis;Hypsoblennius_hentz;South coast of Faial Island, Azores;4;obs;minor 1: sneaker;natural;4;3.H;TGI (%);0;0;quality;quality;"""testicular gland index (TGI) ? tes- ticular gland area/testis area""";15;0.48740871;0.307918908;standard length mm mean +/- se;12.1;3.6;11;8.4;5.6;7;#REF!;
Hurtado-Gonzales & Uy;2009;15;129;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;sperm count;0;0;production;production_0;"""The mean number of sperm produced by each morph was quantified by taking the average of sperm count from five counts, then multiplying it by the sample dilution factor and the initial volume""";37;-0.691057469;0.115277049;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Hurtado-Gonzales & Uy;2009;15;130;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;gonad mass (mg);0;1;production;production_0;"""To obtain a natural measure of testes investment, 288 males (west: N= 168; east: N= 120) were caught from local ditches and were immediately euthanized in a water bath containing MS-222. We measured male total length (see Methods above), and removed their gonads. Gonads and soma were dried in a conventional laboratory oven at 80C for 48 h, and weighed to the nearest 0.001 g (ATI Cahn C-35, Cahn Instruments, Boston, MA, U.S.A.)""";159;-0.164750724;0.025243583;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Hurtado-Gonzales & Uy;2009;15;131;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;sperm head length (µm);0;0;quality;quality;"""We obtained digital images of individual sperm with a Dage CCD72 camera mounted on an Olympus BX60 microscope, allowing us to measure the lengths of the head, midpiece, flagellum, and total spermatozoa to the nearest 0.01 mm using NIH freeware (http://rsb.info.nih.gov/nih-image).""";37;-0.053771715;0.108862602;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Hurtado-Gonzales & Uy;2009;15;132;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;sperm midpiece length (µm);0;0;quality;quality;"""We obtained digital images of individual sperm with a Dage CCD72 camera mounted on an Olympus BX60 microscope, allowing us to measure the lengths of the head, midpiece, flagellum, and total spermatozoa to the nearest 0.01 mm using NIH freeware (http://rsb.info.nih.gov/nih-image).""";37;1.021662582;0.12292886;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Hurtado-Gonzales & Uy;2009;15;133;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;sperm flagellar length (µm);0;0;quality;quality;"""We obtained digital images of individual sperm with a Dage CCD72 camera mounted on an Olympus BX60 microscope, allowing us to measure the lengths of the head, midpiece, flagellum, and total spermatozoa to the nearest 0.01 mm using NIH freeware (http://rsb.info.nih.gov/nih-image).""";37;-1.381429165;0.134611996;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Hurtado-Gonzales & Uy;2009;15;134;Poecilia;?;Poecilia_parae;Poecilia_sp1;Demerara River, Guyana;?;obs;minor 1: immaculata;natural;2;1.L;sperm total length (µm);0;0;quality;quality;"""We obtained digital images of individual sperm with a Dage CCD72 camera mounted on an Olympus BX60 microscope, allowing us to measure the lengths of the head, midpiece, flagellum, and total spermatozoa to the nearest 0.01 mm using NIH freeware (http://rsb.info.nih.gov/nih-image).""";37;-1.148550419;0.126650125;mean soma mass (mg) +/- sd;16.96556;4.018856;78;12.62016;2.593785;78;156;
Pilastro & Bisazza;1999;6;15;Poecilia;Guppy;Poecilia_reticulata;Poecilia_latipinna_reticulata;Lab fish from Manaus, Brazil;2;exp;NA;laboratory;2;1.L;stripped sperm;0;0;production;production_0;"""the number of sperm was counted under a light microscope at a magnification of x400 in an area measuring 0.122mm x 0.122mm (=0.01488mm^2) or 0.244mm x 0.244mm (=0.05954mm^2), according to the sperm concentration. The count was repeated for each of ten separere portions. the mean valeu of these readings was then multiplied for the total fitler area (1133.5mm^2).""";39;-0.172413653;0.103012688;mean standard length +/- sd mm;18.7;2.51;24;19;2.23;27;51;
Pilastro & Bisazza;1999;6;16;Poecilia;Guppy;Poecilia_reticulata;Poecilia_latipinna_reticulata;Lab fish from Manaus, Brazil;2;exp;NA;laboratory;2;1.L;proportion of sperm delivered (in relation to sperm at rest);0;0;allocation;allocation;sperm number given in relation to sperm at rest (sperm count inside female gonduct x sperm count from the male's sperm reserve - after being restored);39;7.943450667;0.911585534;mean standard length +/- sd mm;18.7;2.51;24;19;2.23;27;51;
Fitzpatrick et al;2016;43;194;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;absolute mass of testes;0;1;production;production_0;testes weighed to the nearest 0.01 g;35;0.357075684;0.116953051;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;195;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;absolute accessory gland mass;0;0;quality;quality;accessory gland weighed to the nearest 0.01 g;35;0.99993193;0.129415348;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;196;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;sperm head length (µm);0;0;quality;quality;;26;1.163327626;0.179871753;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;197;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;sperm midpiece length (µm);0;0;quality;quality;;26;-0.835441692;0.167268516;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;198;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;sperm flagella length (µm);0;0;quality;quality;;26;0.37619963;0.156567811;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;199;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;sperm swimming speed (µm/s) 10s postactivation;0;0;quality;quality;;26;-0.043568967;0.157612262;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;200;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;accessory gland corrected for body mass;0;0;quality;quality;When assessing if males adopting different tactics invested dif- ferentially in reproductive investment, we used LMMs with somatic mass (i.e., body mass − organ mass) added as a covariate in models;35;-1.423340458;0.1454;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;
Fitzpatrick et al;2016;43;201;Porichthys;Plainfin midshipman;Porichthys_notatus;Porichthys_notatus;"""Intertidal zone along Cancouver Island and the Vancouver mainland""";2;obs;NA;natural;3;2.M;testes corrected for body mass;0;0;production;production_0;When assessing if males adopting different tactics invested dif- ferentially in reproductive investment, we used LMMs with somatic mass (i.e., body mass − organ mass) added as a covariate in models;35;-0.787346565;0.1244;body mass (g) +/- se;121.91;11.03;19;15.3;1.09;16;35;0
Smith & Reichard;2013;10;182;Rhodeus;European bitterling;Rhodeus_amarus;Acheilognathus_tonkinensis;River Kyjovka, Czech Republic;2;exp;NA;laboratory;2;1.L;VCL: curvilinear velocity (µm s-1);0;0;quality;quality;"""the sum of incremental distances moved by a spermatozoa in each frame divided by total track time""";26;0.356078009;0.156284453;?;?;?;?;?;?;?;?;
Smith & Reichard;2013;10;183;Rhodeus;European bitterling;Rhodeus_amarus;Acheilognathus_tonkinensis;River Kyjovka, Czech Republic;2;exp;NA;laboratory;2;1.L;VSL: straight line velocity (µm s-1);0;0;quality;quality;"""straight line distance between the start and end points of the track, divided by track time""";26;0.248590173;0.155034559;?;?;?;?;?;?;?;?;
Smith & Reichard;2013;10;184;Rhodeus;European bitterling;Rhodeus_amarus;Acheilognathus_tonkinensis;River Kyjovka, Czech Republic;2;exp;NA;laboratory;2;1.L;LIN: linearity (%);0;0;quality;quality;"""the straight line distance between the start and end points of the track, divided by the sum of the incremental distances along the actual path""";26;0.413283963;0.157130839;?;?;?;?;?;?;?;?;
Smith & Reichard;2013;10;185;Rhodeus;European bitterling;Rhodeus_amarus;Acheilognathus_tonkinensis;River Kyjovka, Czech Republic;2;exp;NA;laboratory;2;1.L;MOT: motility (%);0;0;quality;quality;"""the number of motile spermatozoa divided by the total number of spermatozoa in the analysis field""";26;-0.166577829;0.154379773;?;?;?;?;?;?;?;?;
Reichard et al;2004;3;89;Rhodeus;European bitterling;Rhodeus_sericeus;Acheilognathus_sp;River Kyjovka, Czech Republic;2;exp;NA;laboratory;2;1.L;number of ejaculations per spawning;0;0;allocation;allocation;"""To quantify sperm loading by bitterling males, we calculated the number of ejaculations per spawning. Figures refer to the whole period of the observation and sums pre- and postoviposition ejaculations.[...] The number of total effective ejaculations was calculated as the sum of effective preoviposition (15 min before oviposition) and effective postoviposition (8 min after oviposition) ejaculations""";80;-0.075026078;0.05006645;standard length mm (from the tip of the snout to the end of caudal peduncle) +/- ??;48.3;0.75;39;43.1;0.86;41;80;
